customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,Tenure_Bin
0390-DCFDQ,Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Mailed check,70.45,70.45,Yes,0-20
5940-AHUHD,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,No,Mailed check,70.6,70.6,Yes,0-20
5583-SXDAG,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,No,Electronic check,70,70,Yes,0-20
4110-PFEUZ,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,No,Mailed check,69.55,69.55,Yes,0-20
1820-TQVEV,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.55,69.55,Yes,0-20
5875-YPQFJ,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.9,69.9,Yes,0-20
7206-GZCDC,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.25,69.25,Yes,0-20
8375-DKEBR,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.6,69.6,Yes,0-20
9804-ICWBG,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.9,69.9,Yes,0-20
8380-PEFPE,Male,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,71.65,71.65,Yes,0-20
3494-JCHRQ,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,70.05,70.05,Yes,0-20
8000-REIQB,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.95,69.95,Yes,0-20
3177-LASXD,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,No,Electronic check,71.35,71.35,Yes,0-20
1084-UQCHV,Male,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,No,Bank transfer (automatic),69.75,69.75,Yes,0-20
8051-HJRLT,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,70.55,70.55,Yes,0-20
0151-ONTOV,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,No,Mailed check,70.9,70.9,Yes,0-20
6140-QNRQQ,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Mailed check,71.55,71.55,Yes,0-20
1846-XWOQN,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,70.15,70.15,Yes,0-20
5186-SAMNZ,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Bank transfer (automatic),69.5,69.5,Yes,0-20
5539-TMZLF,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.75,69.75,Yes,0-20
7409-KIUTL,Female,1,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,71,71,Yes,0-20
0679-IDSTG,Female,1,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.25,69.25,Yes,0-20
1086-LXKFY,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Mailed check,69.1,69.1,Yes,0-20
2636-ALXXZ,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.6,69.6,Yes,0-20
4510-HIMLV,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.8,69.8,Yes,0-20
3716-BDVDB,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.1,69.1,Yes,0-20
9488-HGMJH,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,71.15,71.15,Yes,0-20
0968-GSIKN,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Mailed check,70.8,70.8,Yes,0-20
4806-HIPDW,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,68.95,68.95,Yes,0-20
8644-XLFBW,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,71.65,71.65,Yes,0-20
0812-WUPTB,Male,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,No,Mailed check,70.85,70.85,Yes,0-20
3871-IKPYH,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,No,Electronic check,69.1,69.1,Yes,0-20
1915-IOFGU,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,No,Electronic check,70.5,70.5,Yes,0-20
7665-TOALD,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.6,69.6,Yes,0-20
6416-TVAIH,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,68.5,68.5,Yes,0-20
3066-RRJIO,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Mailed check,69.95,69.95,Yes,0-20
0515-YPMCW,Male,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Mailed check,70.45,70.45,Yes,0-20
4603-JANFB,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.85,69.85,Yes,0-20
7908-QCBCA,Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Mailed check,69.4,69.4,Yes,0-20
4702-IOQDC,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,70.1,70.1,Yes,0-20
3428-XZMAZ,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.35,69.35,Yes,0-20
1853-UDXBW,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,70,70,Yes,0-20
0511-JTEOY,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,No,Mailed check,71.1,71.1,Yes,0-20
5134-IKDAY,Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.8,69.8,Yes,0-20
5884-GCYMI,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,No,Mailed check,69.4,69.4,Yes,0-20
6653-CBBOM,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,70.3,70.3,Yes,0-20
4759-TRPLW,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,No,Electronic check,70.4,70.4,Yes,0-20
8062-YBDOE,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.65,69.65,Yes,0-20
5376-DEQCP,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,70.6,70.6,Yes,0-20
2506-TNFCO,Female,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.55,69.55,Yes,0-20
2619-WFQWU,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Mailed check,70.15,70.15,Yes,0-20
5550-VFRLC,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.85,69.85,Yes,0-20
3244-DCJWY,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,70.25,70.25,Yes,0-20
8042-JVNFH,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Mailed check,71.35,71.35,Yes,0-20
9985-MWVIX,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Mailed check,70.15,70.15,Yes,0-20
4871-JTKJF,Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.65,69.65,Yes,0-20
3422-LYEPQ,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,71,71,Yes,0-20
1363-TXLSL,Male,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,70.3,70.3,Yes,0-20
4550-EVXNY,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.65,69.65,Yes,0-20
0519-XUZJU,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,No,Mailed check,70.75,70.75,Yes,0-20
7153-OANIO,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,No,Electronic check,69.95,69.95,Yes,0-20
0328-GRPMV,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,70.1,70.1,Yes,0-20
0488-GSLFR,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.5,69.5,Yes,0-20
9728-FTTVZ,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.2,69.2,Yes,0-20
7254-IQWOZ,Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.65,69.65,Yes,0-20
2856-HYAPG,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,No,Electronic check,68.65,68.65,Yes,0-20
1031-IIDEO,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,70.85,70.85,Yes,0-20
1062-LHZOD,Male,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Mailed check,69.9,69.9,Yes,0-20
1447-GIQMR,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.15,69.15,Yes,0-20
7660-HDPJV,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Monthly,Yes,Electronic check,69.2,69.2,Yes,0-20
