Customer_ID,Gender,Age,Married,Number_of_Dependents,City,Zip_Code,Latitude,Longitude,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Multiple_Lines,Internet_Service,Internet_Type,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,churn_count
0004-TLHLJ,Male,50,No,0,"Costa Mesa",92627,33.645672,-117.922613,0,4,"Offer E",Yes,No,Yes,"Fiber Optic",No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",73.9,280.85,0,0,134.6,415.45,Churned,Competitor,"Competitor had better devices",1
0011-IGKFF,Male,78,Yes,0,Martinez,94553,38.014457,-122.115432,1,13,"Offer D",Yes,No,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",98,1237.85,0,0,361.66,1599.51,Churned,Dissatisfaction,"Product dissatisfaction",1
0013-EXCHZ,Female,75,Yes,0,Camarillo,93010,34.227846,-119.079903,3,3,None,Yes,No,Yes,"Fiber Optic",No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,"Credit Card",83.9,267.4,0,0,22.14,289.54,Churned,Dissatisfaction,"Network reliability",1
0022-TCJCI,Male,79,No,0,"Daly City",94015,37.680844,-122.48131,0,45,None,Yes,No,Yes,DSL,Yes,No,Yes,No,No,Yes,No,Yes,"One Year",No,"Credit Card",62.7,2791.5,0,0,480.15,3271.65,Churned,Dissatisfaction,"Limited range of services",1
0023-HGHWL,Male,67,No,0,"Morgan Hill",95037,37.161544,-121.649371,0,1,None,No,,Yes,Cable,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",25.1,25.1,0,0,0,25.1,Churned,Competitor,"Competitor made better offer",1
0023-XUOPT,Female,26,Yes,0,"Carnelian Bay",96140,39.227434,-120.091806,1,13,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",94.1,1215.6,0,0,566.28,1781.88,Churned,Other,"Don't know",1
0031-PVLZI,Female,34,Yes,0,Korbel,95550,40.7666,-123.80458,0,4,"Offer E",Yes,No,No,,,,,,,,,,Month-to-Month,No,"Credit Card",20.35,76.35,0,0,49.72,126.07,Churned,Price,"Long distance charges",1
0032-PGELS,Female,37,Yes,1,"Palomar Mountain",92060,33.309852,-116.823091,1,1,None,No,,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",30.5,30.5,0,0,0,30.5,Churned,Attitude,"Attitude of service provider",1
0067-DKWBL,Male,69,No,0,"San Diego",92129,32.961064,-117.134917,0,2,None,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",49.25,91.1,0,0,87.98,179.08,Churned,Competitor,"Competitor made better offer",1
0093-XWZFY,Male,51,No,0,"Desert Hot Springs",92241,33.832799,-116.250973,0,40,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Credit Card",104.5,4036.85,0,0,1507.6,5544.45,Churned,Competitor,"Competitor had better devices",1
0094-OIFMO,Female,78,No,1,"North Hollywood",91605,34.207295,-118.400022,0,11,"Offer D",Yes,No,Yes,"Fiber Optic",No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,"Bank Withdrawal",95,1120.3,0,120,127.49,1367.79,Churned,Dissatisfaction,"Product dissatisfaction",1
0107-WESLM,Male,32,No,0,"West Point",95255,38.41935,-120.469545,0,1,"Offer E",Yes,No,No,,,,,,,,,,Month-to-Month,Yes,"Bank Withdrawal",19.85,19.85,0,0,31.77,51.62,Churned,Attitude,"Attitude of support person",1
0107-YHINA,Male,59,No,0,"Los Angeles",90062,34.003553,-118.308933,0,1,None,Yes,Yes,Yes,"Fiber Optic",No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",99.75,99.75,0,0,40.71,140.46,Churned,Competitor,"Competitor had better devices",1
0112-QWPNC,Male,61,Yes,0,Valyermo,93563,34.39583,-117.734568,1,49,"Offer B",Yes,Yes,Yes,Cable,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,"One Year",No,"Bank Withdrawal",84.35,4059.35,0,0,1937.95,5997.3,Churned,Competitor,"Competitor offered higher download speeds",1
0115-TFERT,Male,24,Yes,0,Fresno,93650,36.841655,-119.797113,1,21,None,Yes,Yes,Yes,"Fiber Optic",No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,"Bank Withdrawal",111.2,2317.1,0,120,761.46,3198.56,Churned,Attitude,"Attitude of service provider",1
0117-LFRMW,Male,52,Yes,1,Angwin,94508,38.542448,-122.419923,1,37,None,No,,Yes,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,"Bank Withdrawal",40.2,1448.8,0,0,0,1448.8,Churned,Competitor,"Competitor offered more data",1
0122-OAHPZ,Female,29,No,0,"San Diego",92122,32.85723,-117.209774,0,7,None,Yes,Yes,Yes,"Fiber Optic",No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",73.85,511.25,13.03,0,200.34,698.56,Churned,Competitor,"Competitor made better offer",1
0125-LZQXK,Male,42,No,0,"Big Oak Flat",95305,37.818589,-120.256995,0,15,"Offer D",Yes,No,Yes,"Fiber Optic",No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,"Bank Withdrawal",101.35,1553.95,0,0,688.8,2242.75,Churned,Attitude,"Attitude of service provider",1
0133-BMFZO,Female,40,No,0,Alhambra,91803,34.074736,-118.145959,0,2,None,Yes,No,Yes,"Fiber Optic",Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",86.25,181.65,0,0,73.62,255.27,Churned,Competitor,"Competitor offered higher download speeds",1
0135-NMXAP,Female,57,No,0,Lodi,95240,38.123544,-121.159078,0,12,"Offer D",Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,"Bank Withdrawal",89.75,1052.4,0,0,172.56,1224.96,Churned,Attitude,"Attitude of support person",1
0137-OCGAB,Female,25,No,0,Fairfield,94533,38.287136,-122.02711,0,1,"Offer E",Yes,Yes,Yes,"Fiber Optic",No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,"Mailed Check",80.2,80.2,0,0,1.23,81.43,Churned,Price,"Lack of affordable download/upload speed",1
0137-UDEUO,Female,24,No,0,Stockton,95204,37.974498,-121.319568,0,3,"Offer E",Yes,No,No,,,,,,,,,,Month-to-Month,No,"Credit Card",19.85,63.75,0,0,77.25,141,Churned,Price,"Long distance charges",1
