Gender,Age,Married,Number_of_Dependents,City,avg_age,avg_monthly_charge,avg_total_charge
Female,37,Yes,0,"Frazier Park",37.0000,65.6,593.3
Male,46,No,0,Glendale,46.0000,-4,542.4
Male,50,No,0,"Costa Mesa",50.0000,73.9,280.85
Male,78,Yes,0,Martinez,78.0000,98,1237.85
Female,75,Yes,0,Camarillo,75.0000,83.9,267.4
Female,23,No,3,Midpines,23.0000,69.4,571.45
Female,67,Yes,0,Lompoc,67.0000,109.7,7904.25
Male,52,Yes,0,Napa,52.0000,84.65,5377.8
Female,68,No,0,"Simi Valley",68.0000,48.2,340.35
Female,43,Yes,1,Sheridan,43.0000,90.45,5957.9
Male,47,No,0,"Rancho Santa Fe",47.0000,45.2,2460.55
Female,25,Yes,2,Sunnyvale,25.0000,116.8,8456.75
Female,58,Yes,0,Antelope,58.0000,68.95,351.5
Female,32,No,0,"La Mesa",32.0000,101.3,7261.25
Female,39,No,0,"Los Olivos",39.0000,45.05,2560.1
Female,58,Yes,2,Woodlake,58.0000,95.75,6849.4
Female,52,Yes,1,"Point Reyes Station",52.0000,61.25,1993.2
Female,72,No,0,"San Marcos",72.0000,72.1,72.1
Male,79,No,0,"Daly City",79.0000,62.7,2791.5
Male,67,No,0,"Morgan Hill",67.0000,25.1,25.1
Female,79,Yes,0,Ahwahnee,79.0000,25.2,1306.3
Female,26,Yes,0,"Carnelian Bay",26.0000,94.1,1215.6
Female,30,Yes,2,Alpaugh,30.0000,83.75,1849.95
Female,22,No,0,Keeler,22.0000,19.85,57.2
Female,34,Yes,0,Korbel,34.0000,20.35,76.35
Female,37,Yes,1,"Palomar Mountain",37.0000,30.5,30.5
Female,37,Yes,3,Parlier,37.0000,103.7,5656.75
Male,42,Yes,3,Modesto,42.0000,20.4,1090.6
Male,64,No,0,"Glen Ellen",64.0000,19.6,471.85
Female,47,Yes,3,Eureka,47.0000,19.7,1396.9
Male,23,Yes,3,"Moss Beach",23.0000,91.2,3247.55
Female,48,Yes,0,"Los Angeles",48.0000,66.85,4398.025
Male,28,Yes,0,"Los Angeles",28.0000,-2,7942.15
Female,28,No,0,Calexico,28.0000,20.55,1343.4
Male,33,Yes,1,Redding,33.0000,39.4,825.4
Female,31,No,3,"San Martin",31.0000,25.1,1070.15
Female,37,Yes,0,Stockton,37.0000,89.8,4959.6
Female,60,Yes,0,"Los Angeles",60.0000,97.325,6424.674999999999
Female,48,Yes,3,"Huntington Park",48.0000,20.3,224.5
Male,60,Yes,3,Yermo,60.0000,75.75,1929
Male,69,No,0,"San Diego",69.0000,71.61666666666666,1333.3166666666666
Female,20,No,0,Fremont,20.0000,78.2,2078.95
Male,31,Yes,3,"Santa Rosa",31.0000,25.5,630.6
Male,46,Yes,0,"San Jose",46.0000,61.6,1611
Male,57,No,1,Tujunga,57.0000,45,1242.45
Male,19,Yes,0,Visalia,19.0000,85.15,6316.2
Female,64,No,0,Lodi,64.0000,51.45,727.85
Female,38,No,0,"El Portal",38.0000,99.25,3532
Male,54,No,0,Calistoga,54.0000,44.3,44.3
Male,50,No,0,Farmington,50.0000,94.2,2607.6
Male,25,No,0,Tulelake,25.0000,81.25,5567.55
Female,35,Yes,3,Coleville,35.0000,99.95,3767.4
